url	name	online_order	book_table	rate	votes	location	rest_type	cuisines	approx_cost(for two people)	listed_in(type)	sell_beverages	sell_chinese_food	sell_thai_food	sell_indian_food	sell_mediterranean_food	sell_fast_food	sell_desserts
https://www.zomato.com/bangalore/faasos-1-vasanth-nagar?context=eyJzZSI6eyJlIjpbIjE4MzEzNTQyIiwiMTg0MzU2ODgiLCIxODYyNDg5OCIsIjE4NzQwOTQxIiwxODQwNzkxOSwiMTg3OTY3NDUiLCIxODczNTIyOCIsIjU3MjI1IiwiMTg3NDExMTIiLCI1Nzg5MCIsIjE4ODEzMDMwIiwiMTgwMjIyOTMiLCIxODU3OTQ3MCIsIjU0Mjk3IiwiNjExNzIiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJUTSJ9fQ==	Faasos	Yes	No	3.8	101	Vasanth Nagar	Delivery	North Indian, Biryani, Fast Food	500	Delivery	no	no	no	yes	no	yes	no
https://www.zomato.com/bangalore/khanapur-express-jp-nagar?context=eyJzZSI6eyJlIjpbIjYwMjU5IiwiNjEwMjEiLCIxODI1NDU2NCIsIjE4NDMwNzQwIiwxODU4ODU2NSwiMTg2NjU1ODgiLCIxODY5NTAwMCIsIjE4NzExNjc4IiwiMTg2ODUwMjIiLCIxODcwMTQ5OSIsIjE4NzAyNzU0IiwiMTg4MDE0MzYiLCIxODQ3NjQ2OSIsIjU2NDg1IiwiNTcyODYiLCI1Mzg5OSIsIjUzNjc3IiwiNTYzOTciLCIxODU1NDU3NCIsIjE4NjAyNTI5IiwiMTg2MTQ5MzIiLCIxODYyMjQ0NiJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gSmF5YW5hZ2FyIn19	Khanapur Express	No	No		0	JP Nagar	Quick Bites	North Indian, Rajasthani	500	Delivery	no	no	no	yes	no	no	no
https://www.zomato.com/bangalore/russh-gastropub-church-street?context=eyJzZSI6eyJlIjpbIjU5ODY5IiwiMTg3MTgzMjgiLCIxODY0NzUwMyIsIjE4MTQ4OTU2IiwxODIxNjY2MCwiNTI3MDAiLCIxODk2MTQyNiIsIjE4NzU3NTIzIiwiNTM5MTUiLCI1MTQ0MSIsIjE4MjQ2NTE4IiwiNTgzNDAiLCI1OTY5NyIsIjE4NDk5NjgyIiwiNTU5MzIiLCI1MDUwMCIsIjUwNDk5IiwiMTgzNjk4MzIiLCI1MDg3NyIsIjUyODE3IiwiMTg0NTU1NzciXSwidCI6Ik5pZ2h0bGlmZSBSZXN0YXVyYW50cyBpbiBCcmlnYWRlIFJvYWQifX0=	Russh Gastropub	No	No	4.2	1279	Church Street	Pub	Continental, Italian, Burger	1,100	Drinks & nightlife	no	no	no	no	no	yes	no
https://www.zomato.com/bangalore/bangalir-rannaghar-bannerghatta-road?context=eyJzZSI6eyJlIjpbIjE4NjM1MjI2IiwiMTg2NDkzMDMiLCIxODY1MzQ2MyIsIjE4NTQ4MzcwIiw1NzM1MiwiNTczNTgiLCIxODQyNTEzMiIsIjE4MzYyNDI5IiwiMTg0MzA3NDAiLCIxODc2NDE3NCIsIjE4ODAyMTAyIiwiMTg2Mjg2NDkiLCIxODY0NzgxOSIsIjU2OTg3IiwiMTg3NDA5NTIiLCIxODg2MTkxMCIsIjE4NzcyNjEyIiwiMTg2NTk2OTciLCIxODU2OTIyOCIsIjE4MDExNjc0IiwiMTg2OTMwMTkiLCIxODc0MTY5NyIsIjE4NzUzNzQ4IiwiMTg4MDY4OTciXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIEJhbm5lcmdoYXR0YSBSb2FkIn19	Bangalir Rannaghar	No	No	2.9	58	Bannerghatta Road	Quick Bites	Bengali, North Indian, Chinese	250	Dine-out	no	yes	no	yes	no	no	no
https://www.zomato.com/bangalore/natural-mumbai-kulfi-btm-bangalore?context=eyJzZSI6eyJlIjpbIjUwMjYwIiwiMTg3NDExMTQiLCIxODU2NzM0OCIsIjE4NTIyNTg4IiwxODcyMTY2MCwiMTg3MzkwMDQiLCI1ODgwMiIsIjE4NTU0NTI2IiwiNTE0MDYiLCIxODYwNjA1NCIsIjE4NDEyMTE4IiwiMTg0NjcyMTEiLCI1ODM0OSIsIjE4Njc4MzY0IiwiMTg2MDU0MTciXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJUTSJ9fQ==	Natural Mumbai Kulfi	Yes	No	3.5	8	BTM	Dessert Parlor	Ice Cream	130	Delivery	no	no	no	no	no	no	yes
https://www.zomato.com/bangalore/chai-resto-1-bellandur-bangalore?context=eyJzZSI6eyJlIjpbIjE4NjEzODg1IiwiMTgzNzEyOTgiLCI1Mjk2MCIsIjE4NDE3NTU1IiwxODk2MjIzN10sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBTYXJqYXB1ciBSb2FkIn19	Chai Resto	No	No	3.5 	7	Bellandur	Quick Bites	Fast Food, Tea	200	Cafes	yes	no	no	no	no	yes	no
https://www.zomato.com/bangalore/mimansa-foxtrot-koramangala-3rd-block-bangalore?context=eyJzZSI6eyJlIjpbIjE4MzY5ODU0IiwiNTk0NjEiLCIxODc2NTYwNSIsIjE4NTg1Mzk4IiwxODcwMzU4NywiMTg2MDczMjAiLCIxODc5Nzc4OCIsIjE4OTI4ODY3IiwiMTgzODU0MzYiLCIxODk0ODk2MCIsIjE4NTk3NjkyIiwiMTg0MTIxMjMiLCIxODc0NjkzOCIsIjE4ODg5OTcyIiwiNTMzNzIiLCIxODY1NTc3MSIsIjE4MzA1NjQzIiwiMTg2ODgwNzMiLCIxODU5MTM2MyIsIjE4Njc5NTcxIiwiMTg1NjIyNzMiLCIxODUzNTYwMiJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gSFNSIn19	Mimansa @ Foxtrot	Yes	Yes	4.4	190	Koramangala 3rd Block	Cafe	Cafe	1,000	Delivery	yes	no	no	no	no	no	no
https://www.zomato.com/bangalore/ciclo-cafe-indiranagar?context=eyJzZSI6eyJlIjpbIjUzNDUwIiwiMTg2ODAwODgiLCI1NjkxMiIsIjE4MjQ2NDk1IiwxODU3MTE5NywiMTg4NjI4NzMiLCIxODM1OTE0OCIsIjE4NDMyOTczIiwiMTg2NzU4NzQiLCIxODY4MDc1NyIsIjU0ODY3IiwiMTg4MTU2MTQiLCIxODQ3MDc4NyIsIjUyNDYzIiwiMTg1NzE1MzkiLCIxODcwMTUzNiIsIjE4ODgxNzMzIiwiMTg3ODYyNjYiLCI1ODQxNSJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gSW5kaXJhbmFnYXIifX0=	Ciclo Cafe	Yes	No	4.3	1273	Indiranagar	Cafe, Casual Dining	Cafe, Italian, American	1,000	Delivery	yes	no	no	no	no	no	no
https://www.zomato.com/bangalore/the-kebab-house-bellandur-bangalore?context=eyJzZSI6eyJlIjpbIjE4NjQ4MDM5IiwiMTg0MjM0MzYiLCIxODkwMDgxMiIsIjE4NTgyNjI2IiwxODg0MTEyMSwiMTg4MTk0MTYiLCIxODg2NzEwNSIsIjE4NDIzNDQwIiwiMTg2MTE1MTUiLCIxODUyNTc5MiIsIjE4ODU2MDEwIiwiMTg3Mjg2MDAiLCIxODUzOTE2OSIsIjE4ODc0MjkxIiwiMTgyNTAxNjkiLCIxODgwMDY1MCJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gU2FyamFwdXIgUm9hZCJ9fQ==	The Kebab House	Yes	No	4.2 	51	Bellandur	Quick Bites	Kebab, Biryani	250	Delivery	no	no	no	yes	no	no	no
https://www.zomato.com/bangalore/sri-krishna-kitchen-bellandur?context=eyJzZSI6eyJlIjpbIjE4OTQwNjM2IiwiMTg2OTcwMDciLCI1NTk0MCIsIjE4MzQ2MzM3IiwxODY1NDYxOCwiMTg2Mzc5NTEiLCIxODU0Mzk4MSIsIjYwOTQxIiwiMTg0OTc4NzIiLCIxODI1NDU2MiIsIjU1MDE0IiwiMTg3NTM3NzgiLCIxODU5NzAwMyIsIjU0OTc5IiwiMTg2NTg4ODUiLCIxODYyODY3MSIsIjE4NTEzNzY3IiwiMTgzMzkyMzMiLCIxODI0NjQ5MiIsIjE4NTg1NzU4IiwiMTg1MjE3NjYiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJlbGxhbmR1ciJ9fQ==	Sri Krishna Kitchen	Yes	No	3.6	22	Bellandur	Quick Bites	North Indian, Chinese	350	Delivery	no	yes	no	yes	no	no	no
